transect_run_ID,run_ID,transect_ID,date,start_time_bird1,end_time_bird1,start_time_fish,end_time_fish,direction_fish,start_time_bird2,end_time_bird2,weather,waves,water_green,remarks,observers
tree_5_run_3,run_3,tree_5,9-Mar-2025,11:28,11:34,11:38,11:46,from coast,11:51,11:56,cloudy,many waves,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_4_run_3,run_3,pap_4,9-Mar-2025,12:02,12:06,12:09,12:17,from coast,12:22,12:28,cloudy,little waves,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_3_run_3,run_3,pap_3,9-Mar-2025,12:36,12:40,12:41,12:49,from coast,12:53,12:57,cloudy,little waves,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_1_run_3,run_3,pap_1,10-Mar-2025,8:25,8:28,8:30,8:37,from coast,8:41,8:47,cloudy,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_2_run_3,run_3,pap_2,10-Mar-2025,8:49,8:56,8:58,9:06,from coast,9:10,9:15,cloudy,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_1_run_3,run_3,tree_1,10-Mar-2025,9:26,9:30,9:32,9:38,from coast,9:44,9:51,cloudy,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
tree_2_run_3,run_3,tree_2,10-Mar-2025,9:54,10:00,10:03,10:10,from coast,10:14,10:17,cloudy,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_3_run_3,run_3,tree_3,10-Mar-2025,10:30,10:35,10:37,10:46,from coast,10:50,10:56,cloudy,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
tree_4_run_3,run_3,tree_4,10-Mar-2025,11:02,11:06,11:07,11:15,from coast,11:20,11:25,cloudy,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
tree_7_extra_3,extra_3,tree_7,10-Mar-2025,12:13,12:19,12:21,12:29,from coast,12:33,12:38,cloudy,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
tree_8_extra_3,extra_3,tree_8,10-Mar-2025,12:41,12:49,12:51,12:58,from coast,13:01,13:11,cloudy,calm,bit,,"Vera, Joyce, Bahebe, Kelvin"
pap_1_run_4,run_4,pap_1,14-Mar-2025,8:24,8:31,8:33,8:41,from coast,8:46,8:51,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_2_run_4,run_4,pap_2,14-Mar-2025,8:54,9:00,9:01,9:10,from coast,9:14,9:20,sunny,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_1_run_4,run_4,tree_1,14-Mar-2025,9:28,9:32,9:34,9:41,from coast,9:45,9:52,sunny,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_2_run_4,run_4,tree_2,14-Mar-2025,9:57,10:02,10:06,10:14,from coast,10:17,10:21,sunny,calm,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_3_run_4,run_4,tree_3,14-Mar-2025,10:34,10:40,10:42,10:50,from coast,10:54,10:59,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
tree_4_run_4,run_4,tree_4,14-Mar-2025,11:03,11:07,11:08,11:17,from coast,11:20,11:25,sunny,calm,no,,"Vera, Joyce, Bahebe, Kelvin"
pap_3_run_4,run_4,pap_3,14-Mar-2025,11:34,11:38,11:39,11:48,from coast,11:52,11:56,sunny,little waves,yes,,"Vera, Joyce, Bahebe, Kelvin"
pap_4_run_4,run_4,pap_4,14-Mar-2025,12:02,12:07,12:09,12:16,from coast,12:20,12:24,sunny,little waves,yes,,"Vera, Joyce, Bahebe, Kelvin"
tree_5_run_4,run_4,tree_5,14-Mar-2025,12:27,12:33,12:35,12:43,from coast,12:47,12:52,sunny,little waves,no,,"Vera, Joyce, Bahebe, Kelvin"
